"Step","mini-gpt-kan - val/loss","mini-gpt-kan - val/loss__MIN","mini-gpt-kan - val/loss__MAX"
"0","4.202416896820068","4.202416896820068","4.202416896820068"
"1","2.404592752456665","2.404592752456665","2.404592752456665"
"2","2.1974430084228516","2.1974430084228516","2.1974430084228516"
"3","2.036879062652588","2.036879062652588","2.036879062652588"
"4","1.910408616065979","1.910408616065979","1.910408616065979"
"5","1.8202300071716309","1.8202300071716309","1.8202300071716309"
"6","1.7626744508743286","1.7626744508743286","1.7626744508743286"
"7","1.7173895835876465","1.7173895835876465","1.7173895835876465"
"8","1.6790164709091187","1.6790164709091187","1.6790164709091187"
"9","1.6635013818740845","1.6635013818740845","1.6635013818740845"
"10","1.63735032081604","1.63735032081604","1.63735032081604"
"11","1.6144169569015503","1.6144169569015503","1.6144169569015503"
"12","1.60554838180542","1.60554838180542","1.60554838180542"
"13","1.5962544679641724","1.5962544679641724","1.5962544679641724"
"14","1.5859051942825317","1.5859051942825317","1.5859051942825317"
"15","1.5756999254226685","1.5756999254226685","1.5756999254226685"
"16","1.5658035278320312","1.5658035278320312","1.5658035278320312"
"17","1.5662132501602173","1.5662132501602173","1.5662132501602173"
"18","1.563732624053955","1.563732624053955","1.563732624053955"
"19","1.5550271272659302","1.5550271272659302","1.5550271272659302"
"20","1.5539664030075073","1.5539664030075073","1.5539664030075073"
